"Species.Name","AOU","Region","Region.Name","shrunk_trend","shrunk_trend_lci","shrunk_trend_uci","Original_Trend","Original_Trend_lci","Original_Trend_uci"
"Brown-headed Nuthatch",7290,"S28","Appalachian Mountains                   ",0.611633543297608,-0.538126178707096,1.77017673716853,0.67,-0.48,1.87
"Tufted Titmouse",7310,"S28","Appalachian Mountains                   ",0.397007014094546,0.115088589077898,0.672937229011538,0.4,0.13,0.68
"Black-capped Chickadee",7350,"S28","Appalachian Mountains                   ",0.242872846684742,-0.126037867348376,0.621624974189272,0.24,-0.15,0.62
"Carolina Chickadee",7360,"S28","Appalachian Mountains                   ",-0.210845623181365,-0.57629098807175,0.145903614484293,-0.21,-0.57,0.16
"Golden-crowned Kinglet",7480,"S28","Appalachian Mountains                   ",0.91316650654626,-1.48784454403659,3.23161391178317,1.2,-1.42,4.04
"Blue-gray Gnatcatcher",7510,"S28","Appalachian Mountains                   ",-0.56631485081019,-1.0428734570623,-0.0971138183124764,-0.57,-1.03,-0.08
"Wood Thrush",7550,"S28","Appalachian Mountains                   ",-1.09847539700666,-1.35051332882665,-0.839594222748962,-1.1,-1.36,-0.85
"Veery",7560,"S28","Appalachian Mountains                   ",-0.443965402158736,-0.823496950430322,-0.0812640389577556,-0.45,-0.85,-0.1
"Swainson's Thrush",7580,"S28","Appalachian Mountains                   ",0.827098479301368,-0.868983609091193,2.49901179103141,0.92,-0.63,2.91
"Hermit Thrush",7590,"S28","Appalachian Mountains                   ",0.846102540058259,0.0230699685295283,1.6569467527904,0.88,0.03,1.72
"American Robin",7610,"S28","Appalachian Mountains                   ",-0.0401026155838252,-0.173516851671787,0.0952874110925783,-0.04,-0.18,0.09
"Eastern Bluebird",7660,"S28","Appalachian Mountains                   ",0.465635736783516,0.0839928590154315,0.837974229894806,0.47,0.08,0.84
"Eurasian Collared-Dove",22860,"S28","Appalachian Mountains                   ",4.6121901269364,0.3193161296423,8.98816889944753,12.51,5.05,20.11
"Mallard",31320,"S28","Appalachian Mountains                   ",1.46339504492228,0.674533495064427,2.2782326014392,1.51,0.7,2.32
"Great Blue Heron",31940,"S28","Appalachian Mountains                   ",2.9942438672463,2.32175153539303,3.6767648496856,3.04,2.37,3.73
"Red-tailed Hawk",33370,"S28","Appalachian Mountains                   ",2.44190840012094,1.93002197065749,2.95093497276267,2.47,1.97,2.98
"Northern Flicker",34120,"S28","Appalachian Mountains                   ",-2.33331276423736,-2.61852243067757,-2.04231453479014,-2.34,-2.62,-2.06
"Alder & Willow Flycatcher",34660,"S28","Appalachian Mountains                   ",0.504095153292575,0.0216013918914471,0.982927415499615,0.5,0.01,0.97
"Dark-eyed Junco",35670,"S28","Appalachian Mountains                   ",0.950311792675355,0.280050117775643,1.59914766633766,0.96,0.29,1.63
"Yellow-rumped Warbler",36550,"S28","Appalachian Mountains                   ",1.96069706087536,0.56915084758959,3.26066194263382,2.09,0.71,3.49
"Pied-billed Grebe",60,"S14","Atlantic Northern Forest                ",0.517186055284139,-0.927313908954962,1.94880435827247,0.57,-0.95,2.05
"Common Loon",70,"S14","Atlantic Northern Forest                ",0.742556362691082,0.156144889714196,1.33465894929916,0.75,0.17,1.38
"Great Black-backed Gull",470,"S14","Atlantic Northern Forest                ",-2.23145582028364,-3.68070906603733,-0.676007098548467,-2.4,-3.93,-0.85
"Herring Gull",510,"S14","Atlantic Northern Forest                ",-4.28233238527406,-5.41754513576929,-3.12044897266991,-4.46,-5.67,-3.32
"Ring-billed Gull",540,"S14","Atlantic Northern Forest                ",3.79536612922638,1.04786792255494,6.5332577821064,4.91,1.54,7.78
"Common Tern",700,"S14","Atlantic Northern Forest                ",-2.3967028683586,-4.9269849243736,0.267964034962377,-2.9,-5.42,0.21
"Black Tern",770,"S14","Atlantic Northern Forest                ",-3.6520831560501,-8.37292841262462,1.12016056693482,-11.48,-20.42,-4.46
