species,CommonName,ScientificName,MigStatus,Introduced,trendyr,trendsource,lcl_90CI,ucl_90CI,BreedingBiome,NonbreedingBiome,PrimaryBreedingHabitat,SecondaryBreedingHabitat,PrimaryNonbreedingHabitat,SecondaryNonbreedingHabitat,IOC,LatinBirdLifeIOCClements,English,Gilletal2020IOCWorldBirdListv102,HBWandBirdLifeInternational2019,eBirdClementsChecklistv2019
Setophaga chrysoparia,Golden-cheeked Warbler,Setophaga chrysoparia,M,NA,NA,,NA,NA,North American Southwest,Mesoamerican Highlands,Forests—Temperate Western,,Forests—Mesoamerican Pine-Oak,Forests—Mesoamerican Highland,35703,Setophaga chrysoparia,Golden-cheeked Warbler,Setophaga chrysoparia,Setophaga chrysoparia,Setophaga chrysoparia
Setophaga virens,Black-throated Green Warbler,Setophaga virens,M,NA,0.469,BBS7017,0.08,0.84,Northern Forest,Mesoamerica,Forests—Boreal,Forests—Temperate Eastern,Forests—Tropical Montane Evergreen,Forests—Tropical Lowland Evergreen,35704,Setophaga virens,Black-throated Green Warbler,Setophaga virens,Setophaga virens,Setophaga virens
Myiothlypis fulvicauda,Buff-rumped Warbler,Myiothlypis fulvicauda,R,NA,NA,,NA,NA,Neotropical,Neotropical,Forests—Tropical Lowland Evergreen,Wetlands—Forested,Forests—Tropical Lowland Evergreen,Wetlands—Forested,35727,Myiothlypis fulvicauda,Buff-rumped Warbler,Myiothlypis fulvicauda,Myiothlypis fulvicauda,Myiothlypis fulvicauda
Basileuterus lachrymosus,Fan-tailed Warbler,Basileuterus lachrymosus,PM,NA,NA,,NA,NA,Mesoamerica,Mesoamerica,Forests—Tropical Lowland Evergreen,Forests—Tropical Dry,Forests—Tropical Lowland Evergreen,Forests—Tropical Dry,35766,Basileuterus lachrymosus,Fan-tailed Warbler,Basileuterus lachrymosus,Basileuterus lachrymosus,Basileuterus lachrymosus
Basileuterus rufifrons,Rufous-capped Warbler,Basileuterus rufifrons,R,NA,NA,,NA,NA,Mesoamerica,Mesoamerica,Forests—Tropical Dry,Forests—Mesoamerican Pine-Oak,Forests—Tropical Dry,Forests—Mesoamerican Pine-Oak,35770,Basileuterus rufifrons,Rufous-capped Warbler,Basileuterus rufifrons,Basileuterus rufifrons,Basileuterus rufifrons
Basileuterus melanogenys,Black-cheeked Warbler,Basileuterus melanogenys,R,NA,NA,,NA,NA,Central and South American Highlands,Central and South American Highlands,Forests—Tropical Montane Evergreen,,Forests—Tropical Montane Evergreen,,35779,Basileuterus melanogenys,Black-cheeked Warbler,Basileuterus melanogenys,Basileuterus melanogenys,Basileuterus melanogenys
Basileuterus ignotus,Pirre Warbler,Basileuterus ignotus,R,NA,NA,,NA,NA,Central and South American Highlands,Central and South American Highlands,Forests—Tropical Montane Evergreen,,Forests—Tropical Montane Evergreen,,35783,Basileuterus ignotus,Pirre Warbler,Basileuterus ignotus,Basileuterus ignotus,Basileuterus ignotus
Basileuterus belli,Golden-browed Warbler,Basileuterus belli,R,NA,NA,,NA,NA,Mesoamerican Highlands,Mesoamerican Highlands,Forests—Mesoamerican Pine-Oak,Forests—Tropical Montane Evergreen,Forests—Mesoamerican Pine-Oak,Forests—Tropical Montane Evergreen,35785,Basileuterus belli,Golden-browed Warbler,Basileuterus belli,Basileuterus belli,Basileuterus belli
Basileuterus culicivorus,Golden-crowned Warbler,Basileuterus culicivorus,R,NA,NA,,NA,NA,Neotropical,Neotropical,Forests—Tropical Lowland Evergreen,,Forests—Tropical Lowland Evergreen,,35791,Basileuterus culicivorus,Stripe-crowned Warbler,Basileuterus culicivorus,Basileuterus culicivorus,Basileuterus culicivorus
Cardellina canadensis,Canada Warbler,Cardellina canadensis,M,NA,-2.225,BBS7017,-2.67,-1.8,Northern Forest,Central and South American Highlands,Forests—Boreal,Forests—Temperate Eastern,Forests—Tropical Montane Evergreen,,35829,Cardellina canadensis,Canada Warbler,Cardellina canadensis,Cardellina canadensis,Cardellina canadensis
Cardellina pusilla,Wilson's Warbler,Cardellina pusilla,M,NA,-1.588,BBS7017,-1.98,-1.27,Northern Forest,Mesoamerica,Forests—Boreal,Forests—Temperate Western,Forests—Tropical Generalist,,35830,Cardellina pusilla,Wilson's Warbler,Cardellina pusilla,Cardellina pusilla,Cardellina pusilla
Cardellina rubrifrons,Red-faced Warbler,Cardellina rubrifrons,PM,NA,NA,,NA,NA,Mesoamerican Highlands,Mesoamerican Highlands,Forests—Mesoamerican Pine-Oak,,Forests—Mesoamerican Pine-Oak,Forests—Mesoamerican Highland,35834,Cardellina rubrifrons,Red-faced Warbler,Cardellina rubrifrons,Cardellina rubrifrons,Cardellina rubrifrons
Cardellina rubra,Red Warbler,Cardellina rubra,R,NA,NA,,NA,NA,Mesoamerican Highlands,Mesoamerican Highlands,Forests—Mesoamerican Pine-Oak,Forests—Mesoamerican Highland,Forests—Mesoamerican Pine-Oak,Forests—Mesoamerican Highland,35835,Cardellina rubra,Red Warbler,Cardellina rubra,Cardellina rubra,Cardellina rubra
Cardellina versicolor,Pink-headed Warbler,Cardellina versicolor,R,NA,NA,,NA,NA,Mesoamerican Highlands,Mesoamerican Highlands,Forests—Tropical Montane Evergreen,,Forests—Tropical Montane Evergreen,,35839,Cardellina versicolor,Pink-headed Warbler,Cardellina versicolor,Cardellina versicolor,Cardellina versicolor
Myioborus pictus,Painted Redstart,Myioborus pictus,PM,NA,NA,,NA,NA,Mesoamerican Highlands,Mesoamerican Highlands,Forests—Mesoamerican Pine-Oak,,Forests—Mesoamerican Pine-Oak,,35840,Myioborus pictus,Painted Whitestart,Myioborus pictus,Myioborus pictus,Myioborus pictus
Myioborus miniatus,Slate-throated Redstart,Myioborus miniatus,R,NA,NA,,NA,NA,Central and South American Highlands,Central and South American Highlands,Forests—Mesoamerican Highland,Forests—Tropical Montane Evergreen,Forests—Mesoamerican Highland,Forests—Tropical Montane Evergreen,35843,Myioborus miniatus,Slate-throated Whitestart,Myioborus miniatus,Myioborus miniatus,Myioborus miniatus
Myioborus torquatus,Collared Redstart,Myioborus torquatus,R,NA,NA,,NA,NA,Central and South American Highlands,Central and South American Highlands,Forests—Tropical Montane Evergreen,,Forests—Tropical Montane Evergreen,,35870,Myioborus torquatus,Collared Whitestart,Myioborus torquatus,Myioborus torquatus,Myioborus torquatus
Mitrospingus cassinii,Dusky-faced Tanager,Mitrospingus cassinii,R,NA,NA,,NA,NA,Trans-Andean Lowlands,Trans-Andean Lowlands,Forests—Tropical Lowland Evergreen,,Forests—Tropical Lowland Evergreen,,35878,Mitrospingus cassinii,Dusky-faced Tanager,Mitrospingus cassinii,Mitrospingus cassinii,Mitrospingus cassinii
